estimator_name,metrics.accuracy,metrics.area_under_the_curve,metrics.f1
K_NeighboursClassifier,0.4449941176470588,0.44974698308635813,0.3091596340848053
LogisticRegression,0.41434117647058827,0.430450874958375,0.32740990623611005
RF_CUSUM_exogenous,0.5086823529411765,0.5071951261238761,0.46001932329259015
RF_HMM_exogenous,0.5004529411764707,0.500917456987457,0.46428494289479033
RandomForestClassifier,0.44691764705882353,0.43160284139471633,0.31873587667344716
SVMClassifier,0.43995294117647055,0.4517465441502942,0.20975556390723069
k_neighbours_regressor,0.5061176470588236,0.5172596723415475,0.38504847995225244
lasso_regressor,0.5458705882352941,0.5251896381396381,0.5348411239844684
random_forest_regressor,0.5162176470588236,0.5200680093517595,0.4533274507071173
svm_regressor,0.4959235294117647,0.5070801247363748,0.37431935860669746
